stock,horizon,model,library,mae,mse,rmse,mape,smape,wape,mase,r2,column
RELIANCE,15,ETS,autogluon_internal,0.00014766822526271863,8.02560893269692e-08,0.0002832950570111826,279.0561761830102,68.14595233327269,66.5064216832326,0.3593332324533096,-0.12508880847016113,
RELIANCE,15,AutoARIMA,statsforecast,0.00014626951681898518,8.38009679309133e-08,0.00028948396834870373,187.83449802211635,72.7166338736687,65.87647510261016,0.35592964020824613,-0.1747835204618482,
RELIANCE,15,Theta,autogluon_internal,0.0001850026715835608,9.573887787417972e-08,0.00030941699674416677,363.36737727068436,104.99094636370121,83.32101010201013,0.45018220998016123,-0.34213791046924014,
RELIANCE,15,RecursiveTabular,autogluon_internal,0.00021082281225071875,9.643360859619365e-08,0.00031053761220855945,756.3656374466402,91.08775907462022,94.9498162319361,0.5130124809597327,-0.3518771560117666,
RELIANCE,15,SeasonalNaive,autogluon_internal,0.00020747135064347422,9.714112219601448e-08,0.0003116747057366293,652.2367376296307,101.53938961029125,93.44039388660747,0.5048570939045165,-0.36179560132444344,
TCS,15,original/RandomForest,classical,0.0002257024352685915,,0.000348791622062265,2276.7450004878915,,,,,Volatility
TCS,15,original/XGBoost,classical,0.00021266174568616736,,0.00035146663730098346,1553.1869820158156,,,,,Volatility
TCS,15,original/ExpSmoothing,classical,0.00022135955495126595,,0.00036351535364742446,1960.4031328016838,,,,,Volatility
TCS,15,original/ARIMA,classical,0.000221119323678204,,0.00036380724977730703,1948.5729127390907,,,,,Volatility
TCS,15,original/LSTM,classical,0.00021523419719302105,,0.00036482555214629027,1689.1584247634714,,,,,Volatility
TCS,15,decomposition+model/LSTM,classical,0.00020619728773034783,,0.0003757643030006546,1262.7780378048642,,,,,Volatility
HDFCBANK,15,Naive,autogluon_internal,0.0003586443388161368,1.4584065921381073e-07,0.00038189089962162065,3985877.881058342,140.35357061479095,319.03298932781195,1.231324540750933,-5.67948434031138,
TCS,15,decomposition+model/RandomForest,classical,0.00020241538207135763,,0.00038298195332868,1084.1324872279147,,,,,Volatility
TCS,15,decomposition+model/XGBoost,classical,0.0002070480991211617,,0.00038425438881781323,1370.7476955930435,,,,,Volatility
TCS,15,decomposition+model/ARIMA,classical,0.00019774216141965536,,0.00040739235563136823,214.4875157913311,,,,,Volatility
TCS,15,decomposition+model/ExpSmoothing,classical,0.00020856617950624473,,0.00041291978952624124,188.45023084888552,,,,,Volatility
TCS,15,arima,flaml,0.00027256909177036075,1.8176756246109108e-07,0.0004263420721217777,1887.8278278215066,126.511143459731,117.44102688542968,0.793394351035672,0.01566069665587988,
TCS,15,ETS,autogluon_internal,0.00027435261573707776,1.84721830946106e-07,0.00042979277674957034,1819.1062657426464,126.228624365713,118.20948850653853,0.7985858341599662,-0.00033777162447434783,
TCS,15,Theta,autogluon_internal,0.00026415048189468274,1.8521591189867719e-07,0.00043036718264602517,2021.7290951422842,121.68057073126867,113.81372570345849,0.7688894540367,-0.003013404691587951,
TCS,15,AutoARIMA,statsforecast,0.00026138114833865894,1.8661775105729514e-07,0.0004319927673668798,1577.9747436397206,124.8307899937141,112.62051126195563,0.7608284754964995,-0.010604887803927543,
TCS,15,DirectTabular,autogluon_internal,0.0002548077275773055,2.099108193519487e-07,0.0004581602550985285,1289.4956471455732,118.15523328601041,109.7882411782524,0.7416945565874827,-0.13674556058108656,
TCS,15,WeightedEnsemble,autogluon_timeseries,0.00021447884767858053,2.1567126153746355e-07,0.00046440420060273307,508.9585571478447,104.83865303236726,92.41185767973114,0.6243052176590556,-0.16794050851937725,
TCS,15,Naive,autogluon_internal,0.000215515409557993,2.276457005649007e-07,0.00047712231195459797,202.80978422584374,107.30280413204514,92.85847798711013,0.6273224428854492,-0.2327865724188547,
TCS,15,RecursiveTabular,autogluon_internal,0.00038493662516439524,3.316559289832264e-07,0.0005758957622549643,6402.378103323261,128.08591122859025,165.85648890522583,1.120473865648244,-0.7960408428493839,
TCS,15,SeasonalNaive,autogluon_internal,0.0003908510989686338,3.414266921921358e-07,0.00058431728726107,6534.4436934890755,132.21646254279383,168.40484049030556,1.1376897211773984,-0.8489531783617061,
BANKNIFTY,30,decomposition+model/XGBoost,classical,6.900152896553686e-05,,9.748977800524768e-05,97758.71723484833,,,,,Volatility
BANKNIFTY,30,WeightedEnsemble,autogluon_timeseries,6.9934526719821e-05,9.964374219913026e-09,9.98217121668078e-05,79100.23966873782,118.61425162582442,100.94535751345386,0.23600597574121415,-0.01111738364697934,
BANKNIFTY,30,decomposition+model/LSTM,classical,7.060919490806305e-05,,9.998004808757735e-05,94576.07252605207,,,,,Volatility
BANKNIFTY,30,arima,flaml,8.41641138428917e-05,1.0157856201232121e-08,0.00010078619052842567,221053.04910339083,125.59117301756486,121.4847223562576,0.2840261419007588,-0.030750628085274512,
BANKNIFTY,30,decomposition+model/RandomForest,classical,6.958816997585719e-05,,0.00010276793975772128,88274.17039121197,,,,,Volatility
BANKNIFTY,30,ETS,autogluon_internal,8.950807939266194e-05,1.0805604855186536e-08,0.00010395001132845795,198899.1536793169,124.86362283174901,129.19834448631553,0.3020602641441786,-0.0964797857616666,
BANKNIFTY,30,original/XGBoost,classical,8.684105183563832e-05,,0.00010531083352421069,162053.12041841316,,,,,Volatility
BANKNIFTY,30,AutoARIMA,statsforecast,7.385712803573611e-05,1.1501907942651356e-08,0.00010724694840717546,73253.37984068526,126.84689081316694,106.60734467187369,0.2492434622078801,-0.16713591935164818,
NIFTY50,30,arima,flaml,6.53970576264729e-05,1.1575403602465508e-08,0.00010758904964012605,2223928.535267038,135.5199371000219,93.4696167068632,0.4320214643726077,0.0837963343428243,
BANKNIFTY,30,Naive,autogluon_internal,6.47550732007989e-05,1.1636821888154656e-08,0.00010787410202710683,44494.53790657895,123.80461769459623,93.46919642786212,0.2185270273748327,-0.18082607515914217,
NIFTY50,30,original/XGBoost,classical,7.007730920323874e-05,,0.00011087029887071808,10483110.060881948,,,,,Volatility
NIFTY50,30,original/RandomForest,classical,7.567560954529293e-05,,0.0001116276736972499,13624465.592691546,,,,,Volatility
NIFTY50,30,original/ExpSmoothing,classical,7.405409971793445e-05,,0.00011247057869645408,13117948.198944831,,,,,Volatility
NIFTY50,30,original/ARIMA,classical,7.62215325656609e-05,,0.0001128355199918265,14105331.695993926,,,,,Volatility
NIFTY50,30,original/LSTM,classical,6.817983687475824e-05,,0.00011340449128211276,10450318.60858,,,,,Volatility
BANKNIFTY,30,original/ExpSmoothing,classical,0.0001006966680205526,,0.00011452714375827179,208960.63704760242,,,,,Volatility
NIFTY50,30,decomposition+model/XGBoost,classical,6.231262729170593e-05,,0.00011500607567677653,5538754.1365781035,,,,,Volatility
NIFTY50,30,decomposition+model/LSTM,classical,6.5068694423227e-05,,0.00011642478020752034,7563449.740621206,,,,,Volatility
NIFTY50,30,decomposition+model/RandomForest,classical,6.32531127144303e-05,,0.00011694647457147751,5557045.167294589,,,,,Volatility
