horizon,mae,mape,model_col,mse,r2,rmse,source,stock
7,0.00011951779446279242,643.1600485854985,arima,3.340457460281422e-08,0.012115171174394423,0.0001827691839529143,brain_automl,NIFTY50
7,0.00017960921350335923,1019823.4978741702,original/ARIMA,,,0.00019332445359744743,brain_automl,HDFCBANK
7,0.00016878494110440285,5947228.284647238,arima,4.031111292931088e-08,-0.34014294342456397,0.00020077627581293285,brain_automl,HDFCBANK
7,0.00018788454539067485,402448.5828085964,original/LSTM,,,0.00020092682900071492,brain_automl,BANKNIFTY
7,0.0001686699633712226,3987866.0645626914,AutoARIMA,4.197231525530076e-08,-0.3953696145085337,0.00020487146032403038,brain_automl,HDFCBANK
7,0.0001311456822612037,693.0360313991033,DirectTabular,4.220012167839446e-08,-0.24799852943399836,0.0002054266820021062,brain_automl,NIFTY50
7,0.00015295273068136874,9229.486101836652,Theta,4.255967274302505e-08,-0.9057359662653413,0.00020629995817504436,brain_automl,BANKNIFTY
7,0.00011908027814746129,342.01104477987303,ETS,4.495358465426683e-08,-0.3294276250875068,0.00021202260411160606,brain_automl,NIFTY50
7,0.00015474650616994354,5114.803374350977,original/XGBoost,,,0.00021793178362722885,brain_automl,RELIANCE
7,0.00013881303597678256,4413.011851402278,original/ExpSmoothing,,,0.0002185835328720445,brain_automl,RELIANCE
7,0.00013919564273372673,4451.591182674544,original/ARIMA,,,0.00021865835291301993,brain_automl,RELIANCE
7,0.00014896142882919576,5329.295919921615,original/RandomForest,,,0.00022019687016364267,brain_automl,RELIANCE
7,0.00013512129355109547,3934.749979291889,decomposition+model/LSTM,,,0.00022040177565513507,brain_automl,RELIANCE
7,0.00014408018570965142,489.0789326724998,AutoARIMA,4.953648950332957e-08,-0.46495942653002453,0.0002225679435662952,brain_automl,NIFTY50
7,0.00014502632795471544,222.07234840612963,Theta,5.090108191469871e-08,-0.5053149813230664,0.00022561268119212341,brain_automl,NIFTY50
7,0.00016523308757109006,834.5202566563527,RecursiveTabular,5.110190349028717e-08,-0.5112539459763681,0.0002260573013425737,brain_automl,NIFTY50
7,0.0001421319859218847,143.0615029273883,WeightedEnsemble,5.32246512303042e-08,-0.574030685770863,0.00023070468402332928,brain_automl,NIFTY50
7,0.00012909939961144341,2199.743439787603,decomposition+model/RandomForest,,,0.0002311909771953987,brain_automl,RELIANCE
7,0.00014354385839195264,139.1414197521501,Naive,5.390493635663182e-08,-0.5941489888346041,0.0002321743662780881,brain_automl,NIFTY50
7,0.0001319714870890641,2238.8467700956244,decomposition+model/XGBoost,,,0.00023439061517454174,brain_automl,RELIANCE
7,0.00018025607810362391,7086.495355094954,original/LSTM,,,0.00023820047411822704,brain_automl,RELIANCE
7,0.00018575177628859735,9794.362729419901,RecursiveTabular,5.8031078117290244e-08,-1.5985141708449375,0.00024089640536398678,brain_automl,BANKNIFTY
7,0.00018935429996597356,430.22435772468776,SeasonalNaive,6.27124082850347e-08,-0.8546153471651663,0.0002504244562438635,brain_automl,NIFTY50
7,0.00014732401217694692,792.595141493437,decomposition+model/ARIMA,,,0.0002597965437105861,brain_automl,RELIANCE
